feature,completeness,mi_subtype,mi_stage,score
FEATPYRTCT,0.28061224489795916,0.0,0.0230861927065531,0.03498708230176185
NP4WDYSKDEN,0.20222634508348794,0.02458697489509465,0.0,0.034974819445405585
FEATCLRLEV,0.28061224489795916,0.0,0.02217671113318964,0.03471423782975281
COGCHG,0.2815398886827458,0.0,0.021598524301843725,0.0346335461588277
FEATAPATHY,0.28061224489795916,4.490945104751454e-05,0.01899788832001814,0.03378753665642987
FEATINSPST,0.28061224489795916,0.0,0.019076216540618418,0.03378408945198144
FEATLMBAPX,0.28061224489795916,0.0,0.01580874470645277,0.03280384790173175
FEATMTRFLC,0.28061224489795916,0.0023910134808191597,0.009272149013607844,0.032277477282369765
FEATDYSKIN,0.28061224489795916,0.002128255975009541,0.009424534057514755,0.03216553829205607
FEATSTPPOS,0.28061224489795916,0.001720970766203811,0.009344148078526793,0.031897051373076246
FEATDELHAL,0.28061224489795916,0.0025501446761673208,0.006971857137739512,0.03168286843681817
FEATDIMOLF,0.28061224489795916,0.0040166695079217885,0.0027793397720232704,0.03130502812615597
FEATDCRARM,0.28061224489795916,0.0050577805098783735,0.0,0.031095892795722942
FEATDEPRES,0.28061224489795916,0.0,0.009393309733114918,0.030879217409730392
FEATCRTSNS,0.28061224489795916,0.003747664983003718,0.0,0.03030982347959815
FEATSBDERM,0.28061224489795916,0.0,0.007338641203754825,0.030262816850922365
NP4WDYSKPCT,0.20037105751391465,0.01389175628678907,0.0,0.028372159523464908
FEATPST3YR,0.28061224489795916,0.0,0.0,0.02806122448979592
NP4OFFDEN,0.20083487940630798,0.0029006676038201284,0.009132504827699783,0.024563639951232813
NP4OFFNUM,0.2012987012987013,0.0,0.0035576569648494427,0.021197167219324967
NP4WDYSKNUM,0.2017625231910946,0.0,0.0017211961257368458,0.020692611156830517
NP4OFFPCT,0.19944341372912802,0.0,0.002210757935395158,0.020607568753531348
NP4DYSTNDEN,0.20037105751391465,0.0,0.0,0.020037105751391466
NP4DYSTNNUM,0.20037105751391465,0.0,0.0,0.020037105751391466
DYSKIRAT,0.11270871985157699,0.006723370247853522,0.009506213298774213,0.01815675812350208
NP4DYSTNPCT,0.05705009276437848,0.0,0.0,0.005705009276437849
